"Analysis","Prediction","Step3a","Outcome","Suboutcome","OutlierRemove","N","j","n","k","Hedgesg","CI","QM","z","p"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.259",NA,"0.879"
"Delayed post","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","181","1","1","1","0.08"," [-0.60, 0.76]",NA,"0.234728","0.814420"
"Immediate post","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","445","7","7","8","0.27"," [-0.03, 0.57]",NA,"1.766893","0.077246"
"Pre","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","146","2","2","2","0.27"," [-0.32, 0.86]",NA,"0.889899","0.373520"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.259",NA,"0.879"
"Delayed post","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","181","1","1","1","0.08"," [-0.60, 0.76]",NA,"0.234728","0.814420"
"Immediate post","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","445","7","7","8","0.27"," [-0.03, 0.57]",NA,"1.766893","0.077246"
"Pre","Decrease","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","146","2","2","2","0.27"," [-0.32, 0.86]",NA,"0.889899","0.373520"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"3.525",NA,"0.172"
"Immediate post","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","81","1","1","2","0.02"," [-0.47, 0.51]",NA,"0.084517","0.932645"
"Peri","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","171","2","2","2","0.61"," [0.20, 1.02]",NA,"2.935819","0.003327"
"Pre","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","no","81","1","1","2","0.34"," [-0.15, 0.82]",NA,"1.350689","0.176795"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.290",NA,"0.318"
"Immediate post","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","81","1","1","2","0.02"," [-0.36, 0.40]",NA,"0.108295","0.913761"
"Peri","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","82","1","1","1","0.43"," [-0.01, 0.88]",NA,"1.923270","0.054446"
"Pre","Increase","Emotion","Intrusion frequency","Lab-based intrusion monitoring task","yes","81","1","1","2","0.34"," [-0.05, 0.72]",NA,"1.726107","0.084328"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"2.590",NA,"0.274"
"Immediate post","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","74","1","1","1","0.02"," [-0.55, 0.60]",NA,"0.082628","0.934147"
"Peri","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","65","1","1","1","-0.61"," [-1.22, 0.00]",NA,"-1.946058","0.051648"
"Pre","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","113","1","1","1","-0.07"," [-0.52, 0.38]",NA,"-0.297824","0.765837"
"Moderation Analysis: TimeOfManipulation","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"2.590",NA,"0.274"
"Immediate post","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","74","1","1","1","0.02"," [-0.55, 0.60]",NA,"0.082628","0.934147"
"Peri","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","65","1","1","1","-0.61"," [-1.22, 0.00]",NA,"-1.946058","0.051648"
"Pre","Increase","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","113","1","1","1","-0.07"," [-0.52, 0.38]",NA,"-0.297824","0.765837"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"10.587",NA,"0.001"
"Immediate post","Increase","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no","205","2","3","7","0.05"," [-0.14, 0.24]",NA,"0.507042","0.612126"
"Peri","Increase","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no","175","2","2","2","-0.65"," [-1.02, -0.28]",NA,"-3.401131","0.000671"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"5.444",NA,"0.020"
"Immediate post","Increase","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes","205","2","3","7","0.05"," [-0.14, 0.24]",NA,"0.507042","0.612126"
"Peri","Increase","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes","110","1","1","1","-0.55"," [-1.02, -0.08]",NA,"-2.315244","0.020600"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"0.800",NA,"0.371"
"Delayed post","Unspecified","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","72","1","1","2","-0.10"," [-0.65, 0.46]",NA,"-0.344113","0.730761"
"Immediate post","Unspecified","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","no","229","2","2","3","0.22"," [-0.19, 0.63]",NA,"1.042297","0.297274"
"Moderation Analysis: TimeOfManipulation","Unspecified","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"0.800",NA,"0.371"
"Delayed post","Unspecified","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","72","1","1","2","-0.10"," [-0.65, 0.46]",NA,"-0.344113","0.730761"
"Immediate post","Unspecified","Imagery","Intrusion frequency","Lab-based intrusion monitoring task","yes","229","2","2","3","0.22"," [-0.19, 0.63]",NA,"1.042297","0.297274"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"1.275",NA,"0.259"
"Immediate post","Unspecified","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","45","1","1","1","0.38"," [-0.05, 0.80]",NA,"1.746755","0.080680"
"Pre","Unspecified","Other","Intrusion frequency","Lab-based intrusion monitoring task","no","54","1","1","2","0.05"," [-0.33, 0.43]",NA,"0.244359","0.806953"
"Moderation Analysis: TimeOfManipulation","Unspecified","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"1.275",NA,"0.259"
"Immediate post","Unspecified","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","45","1","1","1","0.38"," [-0.05, 0.80]",NA,"1.746755","0.080680"
"Pre","Unspecified","Other","Intrusion frequency","Lab-based intrusion monitoring task","yes","54","1","1","2","0.05"," [-0.33, 0.43]",NA,"0.244359","0.806953"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no",NA,NA,NA,NA,NA,NA,"3.069",NA,"0.080"
"Immediate post","Unspecified","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no","80","1","1","2","-0.13"," [-0.57, 0.31]",NA,"-0.565899","0.571462"
"Peri","Unspecified","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","no","196","2","2","2","0.37"," [0.03, 0.72]",NA,"2.113707","0.034540"
"Moderation Analysis: TimeOfManipulation","Unspecified","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes",NA,NA,NA,NA,NA,NA,"3.069",NA,"0.080"
"Immediate post","Unspecified","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes","80","1","1","2","-0.13"," [-0.57, 0.31]",NA,"-0.565899","0.571462"
"Peri","Unspecified","Verbal","Intrusion frequency","Lab-based intrusion monitoring task","yes","196","2","2","2","0.37"," [0.03, 0.72]",NA,"2.113707","0.034540"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.072",NA,"0.788"
"Immediate post","All","Emotion","Intrusion frequency","Self-report questionnaire","no","240","2","2","3","0.17"," [-0.96, 1.30]",NA,"0.299927","0.764233"
"Peri","All","Emotion","Intrusion frequency","Self-report questionnaire","no","56","1","1","2","0.44"," [-1.16, 2.05]",NA,"0.540080","0.589142"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.072",NA,"0.788"
"Immediate post","All","Emotion","Intrusion frequency","Self-report questionnaire","yes","240","2","2","3","0.17"," [-0.96, 1.30]",NA,"0.299927","0.764233"
"Peri","All","Emotion","Intrusion frequency","Self-report questionnaire","yes","56","1","1","2","0.44"," [-1.16, 2.05]",NA,"0.540080","0.589142"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"5.374",NA,"0.068"
"Delayed post","All","Imagery","Intrusion frequency","Self-report questionnaire","no","336","2","2","9","-0.13"," [-0.57, 0.30]",NA,"-0.596274","0.550992"
"Immediate post","All","Imagery","Intrusion frequency","Self-report questionnaire","no","285","3","3","4","0.54"," [0.10, 0.98]",NA,"2.407989","0.016041"
"Peri","All","Imagery","Intrusion frequency","Self-report questionnaire","no","73","1","1","1","-0.21"," [-1.02, 0.61]",NA,"-0.494708","0.620806"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"4.796",NA,"0.091"
"Delayed post","All","Imagery","Intrusion frequency","Self-report questionnaire","yes","336","2","2","9","-0.14"," [-0.53, 0.26]",NA,"-0.676099","0.498978"
"Immediate post","All","Imagery","Intrusion frequency","Self-report questionnaire","yes","285","3","3","3","0.47"," [0.04, 0.90]",NA,"2.129417","0.033220"
"Peri","All","Imagery","Intrusion frequency","Self-report questionnaire","yes","73","1","1","1","-0.21"," [-0.97, 0.56]",NA,"-0.525027","0.599565"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.127",NA,"0.077"
"Delayed post","All","Other","Intrusion frequency","Self-report questionnaire","no","181","1","1","1","0.11"," [-0.18, 0.40]",NA,"0.723516","0.469363"
"Pre","All","Other","Intrusion frequency","Self-report questionnaire","no","33","1","1","1","0.80"," [0.09, 1.51]",NA,"2.209430","0.027145"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.127",NA,"0.077"
"Delayed post","All","Other","Intrusion frequency","Self-report questionnaire","yes","181","1","1","1","0.11"," [-0.18, 0.40]",NA,"0.723516","0.469363"
"Pre","All","Other","Intrusion frequency","Self-report questionnaire","yes","33","1","1","1","0.80"," [0.09, 1.51]",NA,"2.209430","0.027145"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"2.255",NA,"0.324"
"Immediate + delayed post","All","Verbal","Intrusion frequency","Self-report questionnaire","no","82","1","1","1","-0.32"," [-0.79, 0.16]",NA,"-1.299911","0.193631"
"Immediate post","All","Verbal","Intrusion frequency","Self-report questionnaire","no","455","5","5","17","0.07"," [-0.08, 0.21]",NA,"0.856387","0.391784"
"Peri","All","Verbal","Intrusion frequency","Self-report questionnaire","no","73","1","1","1","-0.01"," [-0.60, 0.58]",NA,"-0.020509","0.983637"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"2.255",NA,"0.324"
"Immediate + delayed post","All","Verbal","Intrusion frequency","Self-report questionnaire","yes","82","1","1","1","-0.32"," [-0.79, 0.16]",NA,"-1.299911","0.193631"
"Immediate post","All","Verbal","Intrusion frequency","Self-report questionnaire","yes","455","5","5","17","0.07"," [-0.08, 0.21]",NA,"0.856387","0.391784"
"Peri","All","Verbal","Intrusion frequency","Self-report questionnaire","yes","73","1","1","1","-0.01"," [-0.60, 0.58]",NA,"-0.020509","0.983637"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.260",NA,"0.610"
"Immediate post","Decrease","Emotion","Intrusion frequency","Self-report questionnaire","no","56","1","1","1","0.95"," [0.16, 1.73]",NA,"2.373821","0.017605"
"Peri","Decrease","Emotion","Intrusion frequency","Self-report questionnaire","no","56","1","1","1","0.68"," [0.03, 1.34]",NA,"2.041163","0.041235"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.260",NA,"0.610"
"Immediate post","Decrease","Emotion","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.95"," [0.16, 1.73]",NA,"2.373821","0.017605"
"Peri","Decrease","Emotion","Intrusion frequency","Self-report questionnaire","yes","56","1","1","1","0.68"," [0.03, 1.34]",NA,"2.041163","0.041235"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"4.430",NA,"0.035"
"Delayed post","Decrease","Imagery","Intrusion frequency","Self-report questionnaire","no","336","2","2","9","-0.13"," [-0.60, 0.33]",NA,"-0.553595","0.579856"
"Immediate post","Decrease","Imagery","Intrusion frequency","Self-report questionnaire","no","229","2","2","3","0.62"," [0.10, 1.15]",NA,"2.324394","0.020104"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"4.854",NA,"0.028"
"Delayed post","Decrease","Imagery","Intrusion frequency","Self-report questionnaire","yes","336","2","2","7","-0.09"," [-0.50, 0.33]",NA,"-0.412791","0.679760"
"Immediate post","Decrease","Imagery","Intrusion frequency","Self-report questionnaire","yes","229","2","2","3","0.62"," [0.15, 1.10]",NA,"2.565463","0.010304"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"3.127",NA,"0.077"
"Delayed post","Decrease","Other","Intrusion frequency","Self-report questionnaire","no","181","1","1","1","0.11"," [-0.18, 0.40]",NA,"0.723516","0.469363"
"Pre","Decrease","Other","Intrusion frequency","Self-report questionnaire","no","33","1","1","1","0.80"," [0.09, 1.51]",NA,"2.209430","0.027145"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"3.127",NA,"0.077"
"Delayed post","Decrease","Other","Intrusion frequency","Self-report questionnaire","yes","181","1","1","1","0.11"," [-0.18, 0.40]",NA,"0.723516","0.469363"
"Pre","Decrease","Other","Intrusion frequency","Self-report questionnaire","yes","33","1","1","1","0.80"," [0.09, 1.51]",NA,"2.209430","0.027145"
"Moderation Analysis: TimeOfManipulation","Decrease","Verbal","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"0.374",NA,"0.541"
"Immediate post","Decrease","Verbal","Intrusion frequency","Self-report questionnaire","no","297","3","3","7","0.18"," [-0.00, 0.36]",NA,"1.934043","0.053108"
"Peri","Decrease","Verbal","Intrusion frequency","Self-report questionnaire","no","73","1","1","1","-0.01"," [-0.57, 0.55]",NA,"-0.021590","0.982775"
"Moderation Analysis: TimeOfManipulation","Decrease","Verbal","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"0.374",NA,"0.541"
"Immediate post","Decrease","Verbal","Intrusion frequency","Self-report questionnaire","yes","297","3","3","7","0.18"," [-0.00, 0.36]",NA,"1.934043","0.053108"
"Peri","Decrease","Verbal","Intrusion frequency","Self-report questionnaire","yes","73","1","1","1","-0.01"," [-0.57, 0.55]",NA,"-0.021590","0.982775"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion frequency","Self-report questionnaire","no",NA,NA,NA,NA,NA,NA,"1.142",NA,"0.285"
"Immediate + delayed post","Increase","Verbal","Intrusion frequency","Self-report questionnaire","no","82","1","1","1","-0.32"," [-0.76, 0.13]",NA,"-1.379266","0.167813"
"Immediate post","Increase","Verbal","Intrusion frequency","Self-report questionnaire","no","158","2","2","6","-0.04"," [-0.26, 0.17]",NA,"-0.408940","0.682584"
"Moderation Analysis: TimeOfManipulation","Increase","Verbal","Intrusion frequency","Self-report questionnaire","yes",NA,NA,NA,NA,NA,NA,"1.142",NA,"0.285"
"Immediate + delayed post","Increase","Verbal","Intrusion frequency","Self-report questionnaire","yes","82","1","1","1","-0.32"," [-0.76, 0.13]",NA,"-1.379266","0.167813"
"Immediate post","Increase","Verbal","Intrusion frequency","Self-report questionnaire","yes","158","2","2","6","-0.04"," [-0.26, 0.17]",NA,"-0.408940","0.682584"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"4.081",NA,"0.395"
"Delayed post","All","Emotion","Intrusion symptoms",NA,"no","132","2","2","2","-0.22"," [-0.75, 0.32]",NA,"-0.799882","0.423779"
"Immediate post","All","Emotion","Intrusion symptoms",NA,"no","345","3","3","4","-0.07"," [-0.41, 0.26]",NA,"-0.423839","0.671683"
"Peri","All","Emotion","Intrusion symptoms",NA,"no","118","2","2","2","0.18"," [-0.34, 0.70]",NA,"0.667326","0.504564"
"Peri + immediate post","All","Emotion","Intrusion symptoms",NA,"no","67","1","1","1","-0.63"," [-1.35, 0.09]",NA,"-1.716522","0.086067"
"Pre","All","Emotion","Intrusion symptoms",NA,"no","52","1","1","1","0.23"," [-0.53, 0.99]",NA,"0.594371","0.552264"
"Moderation Analysis: TimeOfManipulation","All","Emotion","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"6.622",NA,"0.157"
"Delayed post","All","Emotion","Intrusion symptoms",NA,"yes","69","1","1","1","0.19"," [-0.36, 0.75]",NA,"0.682817","0.494723"
"Immediate post","All","Emotion","Intrusion symptoms",NA,"yes","345","3","3","4","-0.07"," [-0.33, 0.18]",NA,"-0.551580","0.581236"
"Peri","All","Emotion","Intrusion symptoms",NA,"yes","118","2","2","2","0.18"," [-0.24, 0.60]",NA,"0.838680","0.401649"
"Peri + immediate post","All","Emotion","Intrusion symptoms",NA,"yes","67","1","1","1","-0.63"," [-1.20, -0.06]",NA,"-2.167144","0.030224"
"Pre","All","Emotion","Intrusion symptoms",NA,"yes","52","1","1","1","0.23"," [-0.39, 0.85]",NA,"0.729209","0.465874"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.714",NA,"0.700"
"Delayed post","All","Imagery","Intrusion symptoms",NA,"no","476","5","6","10","0.04"," [-0.24, 0.32]",NA,"0.285864","0.774982"
"Immediate post","All","Imagery","Intrusion symptoms",NA,"no","863","10","11","20","-0.04"," [-0.24, 0.15]",NA,"-0.424183","0.671432"
"Peri","All","Imagery","Intrusion symptoms",NA,"no","337","3","3","3","0.17"," [-0.32, 0.65]",NA,"0.673172","0.500838"
"Moderation Analysis: TimeOfManipulation","All","Imagery","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.259",NA,"0.879"
"Delayed post","All","Imagery","Intrusion symptoms",NA,"yes","476","5","6","10","0.05"," [-0.21, 0.31]",NA,"0.381993","0.702467"
"Immediate post","All","Imagery","Intrusion symptoms",NA,"yes","863","10","11","18","0.05"," [-0.13, 0.24]",NA,"0.568959","0.569384"
"Peri","All","Imagery","Intrusion symptoms",NA,"yes","337","3","3","3","0.17"," [-0.25, 0.59]",NA,"0.782752","0.433773"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"1.849",NA,"0.604"
"Delayed post","All","Other","Intrusion symptoms",NA,"no","54","1","1","1","0.26"," [-0.61, 1.14]",NA,"0.590640","0.554761"
"Immediate post","All","Other","Intrusion symptoms",NA,"no","838","11","12","17","0.10"," [-0.10, 0.30]",NA,"0.940686","0.346866"
"Peri","All","Other","Intrusion symptoms",NA,"no","65","1","1","1","0.57"," [-0.27, 1.41]",NA,"1.321434","0.186357"
"Pre","All","Other","Intrusion symptoms",NA,"no","167","2","2","3","-0.07"," [-0.54, 0.39]",NA,"-0.303425","0.761566"
"Moderation Analysis: TimeOfManipulation","All","Other","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"1.849",NA,"0.604"
"Delayed post","All","Other","Intrusion symptoms",NA,"yes","54","1","1","1","0.26"," [-0.61, 1.14]",NA,"0.590640","0.554761"
"Immediate post","All","Other","Intrusion symptoms",NA,"yes","838","11","12","17","0.10"," [-0.10, 0.30]",NA,"0.940686","0.346866"
"Peri","All","Other","Intrusion symptoms",NA,"yes","65","1","1","1","0.57"," [-0.27, 1.41]",NA,"1.321434","0.186357"
"Pre","All","Other","Intrusion symptoms",NA,"yes","167","2","2","3","-0.07"," [-0.54, 0.39]",NA,"-0.303425","0.761566"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"2.825",NA,"0.419"
"Delayed post","All","Verbal","Intrusion symptoms",NA,"no","86","1","1","1","-0.03"," [-0.91, 0.85]",NA,"-0.066954","0.946618"
"Immediate post","All","Verbal","Intrusion symptoms",NA,"no","715","7","8","14","0.17"," [-0.07, 0.41]",NA,"1.402589","0.160739"
"Peri","All","Verbal","Intrusion symptoms",NA,"no","512","5","5","6","-0.02"," [-0.39, 0.34]",NA,"-0.133907","0.893476"
"Pre","All","Verbal","Intrusion symptoms",NA,"no","378","2","2","3","-0.25"," [-0.72, 0.21]",NA,"-1.068835","0.285144"
"Moderation Analysis: TimeOfManipulation","All","Verbal","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"4.603",NA,"0.203"
"Delayed post","All","Verbal","Intrusion symptoms",NA,"yes","86","1","1","1","-0.03"," [-0.64, 0.58]",NA,"-0.095642","0.923805"
"Immediate post","All","Verbal","Intrusion symptoms",NA,"yes","670","6","7","12","0.22"," [0.03, 0.41]",NA,"2.237793","0.025235"
"Peri","All","Verbal","Intrusion symptoms",NA,"yes","512","5","5","6","-0.01"," [-0.28, 0.26]",NA,"-0.053152","0.957611"
"Pre","All","Verbal","Intrusion symptoms",NA,"yes","378","2","2","3","-0.14"," [-0.44, 0.16]",NA,"-0.912693","0.361404"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"4.753",NA,"0.191"
"Immediate post","Decrease","Emotion","Intrusion symptoms",NA,"no","267","2","2","3","-0.05"," [-0.41, 0.31]",NA,"-0.263506","0.792160"
"Peri","Decrease","Emotion","Intrusion symptoms",NA,"no","63","1","1","1","0.36"," [-0.33, 1.05]",NA,"1.025155","0.305290"
"Peri + immediate post","Decrease","Emotion","Intrusion symptoms",NA,"no","67","1","1","1","-0.63"," [-1.30, 0.05]",NA,"-1.822425","0.068391"
"Pre","Decrease","Emotion","Intrusion symptoms",NA,"no","52","1","1","1","0.23"," [-0.49, 0.95]",NA,"0.627093","0.530598"
"Moderation Analysis: TimeOfManipulation","Decrease","Emotion","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.637",NA,"0.727"
"Immediate post","Decrease","Emotion","Intrusion symptoms",NA,"yes","267","2","2","2","0.13"," [-0.17, 0.42]",NA,"0.836234","0.403024"
"Peri","Decrease","Emotion","Intrusion symptoms",NA,"yes","63","1","1","1","0.36"," [-0.15, 0.87]",NA,"1.385963","0.165758"
"Pre","Decrease","Emotion","Intrusion symptoms",NA,"yes","52","1","1","1","0.23"," [-0.32, 0.78]",NA,"0.823206","0.410391"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.470",NA,"0.791"
"Delayed post","Decrease","Imagery","Intrusion symptoms",NA,"no","359","3","4","5","0.31"," [-0.01, 0.62]",NA,"1.911038","0.056000"
"Immediate post","Decrease","Imagery","Intrusion symptoms",NA,"no","552","6","7","9","0.18"," [-0.06, 0.41]",NA,"1.472104","0.140993"
"Peri","Decrease","Imagery","Intrusion symptoms",NA,"no","126","2","2","2","0.28"," [-0.25, 0.81]",NA,"1.049251","0.294063"
"Moderation Analysis: TimeOfManipulation","Decrease","Imagery","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"0.470",NA,"0.791"
"Delayed post","Decrease","Imagery","Intrusion symptoms",NA,"yes","359","3","4","5","0.31"," [-0.01, 0.62]",NA,"1.911038","0.056000"
"Immediate post","Decrease","Imagery","Intrusion symptoms",NA,"yes","552","6","7","9","0.18"," [-0.06, 0.41]",NA,"1.472104","0.140993"
"Peri","Decrease","Imagery","Intrusion symptoms",NA,"yes","126","2","2","2","0.28"," [-0.25, 0.81]",NA,"1.049251","0.294063"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.438",NA,"0.508"
"Immediate post","Decrease","Other","Intrusion symptoms",NA,"no","517","6","7","7","0.18"," [-0.13, 0.49]",NA,"1.167857","0.242864"
"Pre","Decrease","Other","Intrusion symptoms",NA,"no","113","1","1","1","-0.11"," [-0.91, 0.70]",NA,"-0.257314","0.796936"
"Moderation Analysis: TimeOfManipulation","Decrease","Other","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"2.149",NA,"0.143"
"Immediate post","Decrease","Other","Intrusion symptoms",NA,"yes","468","5","6","6","0.33"," [0.10, 0.55]",NA,"2.880055","0.003976"
"Pre","Decrease","Other","Intrusion symptoms",NA,"yes","113","1","1","1","-0.11"," [-0.64, 0.43]",NA,"-0.387646","0.698278"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"3.583",NA,"0.167"
"Delayed post","Increase","Emotion","Intrusion symptoms",NA,"no","63","1","1","1","-0.77"," [-1.39, -0.14]",NA,"-2.400478","0.016374"
"Immediate post","Increase","Emotion","Intrusion symptoms",NA,"no","78","1","1","1","-0.15"," [-0.59, 0.29]",NA,"-0.659180","0.509780"
"Peri","Increase","Emotion","Intrusion symptoms",NA,"no","55","1","1","1","-0.01"," [-0.54, 0.52]",NA,"-0.047527","0.962093"
"Moderation Analysis: TimeOfManipulation","Increase","Emotion","Intrusion symptoms",NA,"yes",NA,NA,NA,NA,NA,NA,"3.583",NA,"0.167"
"Delayed post","Increase","Emotion","Intrusion symptoms",NA,"yes","63","1","1","1","-0.77"," [-1.39, -0.14]",NA,"-2.400478","0.016374"
"Immediate post","Increase","Emotion","Intrusion symptoms",NA,"yes","78","1","1","1","-0.15"," [-0.59, 0.29]",NA,"-0.659180","0.509780"
"Peri","Increase","Emotion","Intrusion symptoms",NA,"yes","55","1","1","1","-0.01"," [-0.54, 0.52]",NA,"-0.047527","0.962093"
"Moderation Analysis: TimeOfManipulation","Increase","Imagery","Intrusion symptoms",NA,"no",NA,NA,NA,NA,NA,NA,"0.124",NA,"0.725"
"Delayed post","Increase","Imagery","Intrusion symptoms",NA,"no","63","1","1","1","-0.66"," [-1.43, 0.11]",NA,"-1.691580","0.090726"
"Immediate post","Increase","Imagery","Intrusion symptoms",NA,"no","335","4","4","6","-0.52"," [-0.80, -0.24]",NA,"-3.604925","0.000312"
