Analysis,Individual Technique Name,Time of Administration,Prediction,Outcome,Suboutcome,OutlierRemove,N,j,n,k,Hedgesg,CI,z,p,Q,tau2.studylevel,tau2.outcomelevel,I2,Q.pval
Individual Technique,Expressive vs. Factual trauma disclosure,Immediate post,All,Intrusion frequency,NA,yes,73,1,1,1,0.20599," [-0.26, 0.67]",0.870998785,0.383754816,NA,NA,NA,NA,NA
Individual Technique,Extinction,Immediate post,All,Intrusion frequency,NA,yes,84,1,1,1,0.23625," [-0.23, 0.70]",0.998021326,0.318269018,NA,NA,NA,NA,NA
Individual Technique,Field perspective recall,Immediate post,All,Intrusion frequency,NA,yes,85,1,1,1,-0.59276," [-1.15, -0.03]",-2.068133345,0.038627486,NA,NA,NA,NA,NA
Individual Technique,Field vs. Observer perspective recall,Immediate post,All,Intrusion frequency,NA,yes,85,1,1,1,-0.42373," [-0.98, 0.14]",-1.480412852,0.138763102,NA,NA,NA,NA,NA
Individual Technique,Film-related rumination,Immediate post,All,Intrusion frequency,NA,yes,300,3,4,15,0.013134149," [-0.12, 0.15]",0.194846153,0.84551339,13.29616864,3.92026E-13,2.62605E-09,3.8522E-06,0.503347051
Individual Technique,Film-related rumination vs. Autobiographical memory elaboration,Immediate post,All,Intrusion frequency,NA,yes,101,1,1,3,0.004078633," [-0.27, 0.28]",0.0288663,0.976971223,1.403298755,0,5.17237E-12,8.63607E-09,0.495766922
Individual Technique,Finger tapping,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,0.68113," [0.04, 1.32]",2.094072785,0.036253497,NA,NA,NA,NA,NA
Individual Technique,Hydrocortisone,Immediate post,All,Intrusion frequency,NA,yes,88,1,1,1,0.60506," [0.08, 1.13]",2.253031142,0.024257186,NA,NA,NA,NA,NA
Individual Technique,Hyperventilation provocation + thought suppression,Immediate post,All,Intrusion frequency,NA,yes,120,1,1,3,-0.073897696," [-0.46, 0.31]",-0.374716024,0.707871674,2.775789164,0,0.032474862,27.83334213,0.249600265
Individual Technique,Imagery re-experience,Immediate post,All,Intrusion frequency,NA,yes,880,8,8,9,0.112797099," [-0.09, 0.32]",1.068929101,0.285101618,11.03315338,0.018465891,5.14155E-11,19.38765782,0.19982775
Individual Technique,Imagery re-experience + eye movement,Immediate post,All,Intrusion frequency,NA,yes,250,1,3,3,0.489505983," [0.13, 0.85]",2.667055302,0.007651908,2.468557635,0.008989412,0.008989412,17.78446702,0.291044583
Individual Technique,Imagery re-experience + number counting,Immediate post,All,Intrusion frequency,NA,yes,250,1,3,3,0.560905437," [0.12, 1.00]",2.511384401,0.012025867,3.555712645,0.032723134,0.032723134,43.72807482,0.169000041
Individual Technique,Imagery re-experience + traumagameplay2,Immediate post,All,Intrusion frequency,NA,yes,120,1,1,2,-0.346076724," [-0.71, 0.02]",-1.865192386,0.062154442,0.07197875,0,8.02742E-12,1.16584E-08,0.788477214
Individual Technique,Imagery re-experience vs. Positive imagery,Immediate post,All,Intrusion frequency,NA,yes,76,1,1,1,-0.2529," [-0.80, 0.29]",-0.907546533,0.364117854,NA,NA,NA,NA,NA
Individual Technique,Imagery rescripting,Immediate post,All,Intrusion frequency,NA,yes,319,3,3,5,0.28574621," [-0.08, 0.65]",1.541151782,0.12327985,8.523739204,7.07632E-11,0.091055356,53.00986344,0.074170914
Individual Technique,Imagery rescripting vs. Imagery re-experience,Immediate post,All,Intrusion frequency,NA,yes,116,2,2,3,0.473760504," [-0.40, 1.34]",1.066735821,0.286091147,5.936786209,0.324838123,3.18792E-11,76.89363422,0.051385816
Individual Technique,Imagery rescripting vs. Positive imagery,Immediate post,All,Intrusion frequency,NA,yes,76,1,1,1,0.63751," [0.07, 1.20]",2.216986133,0.026624039,NA,NA,NA,NA,NA
Individual Technique,Imagery trauma elaboration,Immediate post,All,Intrusion frequency,NA,yes,106,1,1,1,0.47249," [0.09, 0.86]",2.399045829,0.016437857,NA,NA,NA,NA,NA
Individual Technique,Imaginary re-exposure,Immediate post,All,Intrusion frequency,NA,yes,56,1,1,1,0.24648," [-0.50, 0.99]",0.649661948,0.515910609,NA,NA,NA,NA,NA
Individual Technique,Letter cancellation task,Immediate post,All,Intrusion frequency,NA,yes,70,1,1,1,-0.54921," [-1.30, 0.21]",-1.426423851,0.153746033,NA,NA,NA,NA,NA
Individual Technique,Memorize numbers,Immediate post,All,Intrusion frequency,NA,yes,80,1,1,3,-0.215588382," [-0.58, 0.14]",-1.175002529,0.239993704,0.980379561,0,6.79004E-13,6.72302E-10,0.612510141
Individual Technique,Memorize numbers + thought suppression,Immediate post,All,Intrusion frequency,NA,yes,200,2,2,5,0.329267084," [0.07, 0.59]",2.442387148,0.01459049,1.863202157,6.53755E-12,0,7.18268E-09,0.760901134
Individual Technique,Memory test,Immediate post,All,Intrusion frequency,NA,yes,52,1,1,1,0.35993," [-0.03, 0.75]",1.820611417,0.068665946,NA,NA,NA,NA,NA
Individual Technique,Mindfulness vs. Muscle relaxation,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,3,-0.109775835," [-0.42, 0.20]",-0.691370971,0.489332442,0.083712325,0,3.98683E-12,5.27127E-09,0.959007712
Individual Technique,Negative expectation towards intrusion,Immediate post,All,Intrusion frequency,NA,yes,89,1,1,2,0.12863871," [-0.22, 0.47]",0.732246529,0.464018109,0.182478802,0,4.88585E-12,7.91551E-09,0.669251595
Individual Technique,Negative feedback,Immediate post,All,Intrusion frequency,NA,yes,72,1,1,2,0.321334425," [-0.08, 0.72]",1.561503183,0.118405073,0.651066547,0,4.10114E-13,4.84139E-10,0.419731619
Individual Technique,Negative social reappraisal,Immediate post,All,Intrusion frequency,NA,yes,181,1,1,1,0.66088," [0.28, 1.04]",3.435098584,0.000592338,NA,NA,NA,NA,NA
Individual Technique,Neutral attention walk,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,-0.43382," [-0.95, 0.08]",-1.66075263,0.096763138,NA,NA,NA,NA,NA
Individual Technique,Nitrous oxide,Immediate post,All,Intrusion frequency,NA,yes,50,1,1,1,-0.0884," [-0.64, 0.47]",-0.312383475,0.754749107,NA,NA,NA,NA,NA
Individual Technique,Number counting,Immediate post,All,Intrusion frequency,NA,yes,101,2,2,7,0.305175103," [-0.29, 0.90]",1.010507935,0.312252,7.238014935,0.120883921,2.05499E-10,39.83077224,0.299395632
Individual Technique,Observer perspective recall,Immediate post,All,Intrusion frequency,NA,yes,85,1,1,1,-0.00874," [-0.55, 0.53]",-0.031804633,0.974627852,NA,NA,NA,NA,NA
Individual Technique,Oxytocin,Immediate post,All,Intrusion frequency,NA,yes,202,1,1,1,0.12619," [-0.15, 0.40]",0.895855348,0.370330025,NA,NA,NA,NA,NA
Individual Technique,Past vs. Now verbal training,Immediate post,All,Intrusion frequency,NA,yes,96,1,1,3,0.008521766," [-0.15, 0.17]",0.102253019,0.918555845,0.264002433,0,3.40955E-12,1.63632E-08,0.876339929
Individual Technique,Positive expectation towards intrusion,Immediate post,All,Intrusion frequency,NA,yes,89,1,1,2,0.393048969," [0.02, 0.77]",2.04904706,0.040457513,0.823078454,0,2.53664E-12,3.44606E-09,0.364281633
Individual Technique,Positive social reappraisal,Immediate post,All,Intrusion frequency,NA,yes,181,1,1,1,0.1337," [-0.24, 0.50]",0.706659031,0.479778395,NA,NA,NA,NA,NA
Individual Technique,Positive vs. Negative cbm training,Immediate post,All,Intrusion frequency,NA,yes,341,3,3,4,0.158839047," [-0.12, 0.44]",1.102590447,0.270205061,4.467560302,0.021347371,0.004575782,35.31553519,0.21520215
Individual Technique,Propranolol,Immediate post,All,Intrusion frequency,NA,yes,88,1,1,1,0.44628," [-0.07, 0.96]",1.692787332,0.090495955,NA,NA,NA,NA,NA
Individual Technique,Prosocial behavior,Immediate post,All,Intrusion frequency,NA,yes,180,1,2,3,0.495997951," [0.25, 0.74]",3.967995389,7.24797E-05,0.161640949,1.1281E-11,1.35071E-14,2.40803E-08,0.922359264
Individual Technique,Rem sleep,Immediate post,All,Intrusion frequency,NA,yes,41,1,1,1,0.50993," [-0.11, 1.13]",1.606207694,0.108228283,NA,NA,NA,NA,NA
Individual Technique,Sad induction,Immediate post,All,Intrusion frequency,NA,yes,81,1,1,2,0.02096731," [-0.35, 0.40]",0.109770478,0.912591405,0.058755379,0,5.23128E-12,7.16908E-09,0.80847404
Individual Technique,Sad vs. Humor induction,Immediate post,All,Intrusion frequency,NA,yes,184,1,1,1,-0.3803," [-0.67, -0.09]",-2.555724863,0.010596687,NA,NA,NA,NA,NA
Individual Technique,Self efficacy,Immediate post,All,Intrusion frequency,NA,yes,74,1,1,4,0.070253685," [-0.23, 0.37]",0.451940486,0.651311857,3.476320778,0,0.011504885,11.89889102,0.323846247
Individual Technique,Sleep,Immediate post,All,Intrusion frequency,NA,yes,552,8,8,9,0.264270036," [0.10, 0.43]",3.06996643,0.002140828,7.589324435,1.12938E-12,7.39141E-13,2.78175E-09,0.474577503
Individual Technique,Social comparison,Immediate post,All,Intrusion frequency,NA,yes,120,1,1,9,0.34014783," [0.17, 0.51]",3.915944059,9.00511E-05,4.34229551,0,4.13171E-12,6.08431E-09,0.824995743
Individual Technique,Social support,Immediate post,All,Intrusion frequency,NA,yes,81,1,1,1,-0.19269," [-0.74, 0.36]",-0.685251018,0.493185535,NA,NA,NA,NA,NA
Individual Technique,Tetris,Immediate post,All,Intrusion frequency,NA,yes,71,1,1,1,0.07006," [-0.50, 0.64]",0.240024597,0.810311189,NA,NA,NA,NA,NA
Individual Technique,Therapy dog interaction,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,-0.4555," [-1.08, 0.17]",-1.422081482,0.155002598,NA,NA,NA,NA,NA
Individual Technique,Thought suppression,Immediate post,All,Intrusion frequency,NA,yes,200,2,2,6,0.112458784," [-0.15, 0.37]",0.849755637,0.395460959,5.588721026,2.67117E-11,0.01297788,12.34364168,0.348315343
Individual Technique,Threat attention walk,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,0.06829," [-0.44, 0.57]",0.264402593,0.791469714,NA,NA,NA,NA,NA
Individual Technique,Threat vs. Neutral attention walk,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,-0.50684," [-1.02, 0.01]",-1.932209741,0.053333623,NA,NA,NA,NA,NA
Individual Technique,Trauma re-exposure,Immediate post,All,Intrusion frequency,NA,yes,115,1,1,1,-0.04336," [-0.49, 0.40]",-0.191189418,0.848377194,NA,NA,NA,NA,NA
Individual Technique,Trauma re-exposure + verbal update,Immediate post,All,Intrusion frequency,NA,yes,115,1,1,1,0.49956," [0.04, 0.96]",2.115937217,0.034350148,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder +  visual stimulation imagery,Immediate post,All,Intrusion frequency,NA,yes,114,1,1,3,-0.463450307," [-0.73, -0.20]",-3.426527812,0.000611351,0.87293407,0,6.43979E-12,1.17332E-08,0.646315803
Individual Technique,Trauma reminder + d-corsi vs. Trauma reminder,Immediate post,All,Intrusion frequency,NA,yes,107,1,1,2,0.36408748," [-0.31, 1.04]",1.051305359,0.293118366,3.952367375,0,0.179193804,74.69869411,0.046805477
Individual Technique,Trauma reminder + finger tapping,Immediate post,All,Intrusion frequency,NA,yes,75,1,1,1,0.57235," [0.01, 1.14]",1.983361627,0.04732705,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder + imagery rescripting vs. Trauma reminder,Immediate post,All,Intrusion frequency,NA,yes,60,1,1,1,0.44729," [-0.18, 1.07]",1.397101395,0.162383082,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder + number counting,Immediate post,All,Intrusion frequency,NA,yes,75,1,1,1,-0.39497," [-0.95, 0.16]",-1.38302333,0.166657712,NA,NA,NA,NA,NA
Individual Technique,Trauma reminder + pub quiz,Immediate post,All,Intrusion frequency,NA,yes,135,1,2,4,0.126888054," [-0.48, 0.73]",0.412381071,0.680060135,12.24461103,1.62285E-10,0.287226621,75.99200882,0.006590517
Individual Technique,Trauma reminder + tetris vs. Trauma reminder,Immediate post,All,Intrusion frequency,NA,yes,577,7,10,18,0.752464954," [0.61, 0.89]",10.38468291,2.91135E-25,8.218911639,1.77158E-14,2.10321E-11,2.21959E-08,0.961639063
Individual Technique,Trauma reminder + traumagameplay1,Immediate post,All,Intrusion frequency,NA,yes,92,1,1,4,0.062128428," [-0.19, 0.31]",0.484920074,0.627733042,0.273098105,0,6.75787E-12,1.02922E-08,0.965005961
Individual Technique,Traumagameplay2,Immediate post,All,Intrusion frequency,NA,yes,120,1,1,2,0.199282866," [-0.16, 0.56]",1.088680046,0.276295004,0.073435978,0,5.16436E-12,7.70627E-09,0.786398159
Individual Technique,Unconscious imagery re-experience,Immediate post,All,Intrusion frequency,NA,yes,149,1,1,1,0.46274," [-0.09, 1.01]",1.646694378,0.09962088,NA,NA,NA,NA,NA
Individual Technique,Unconscious vs. Conscious imagery re-experience,Immediate post,All,Intrusion frequency,NA,yes,149,1,1,1,0.60707," [0.10, 1.11]",2.362325405,0.018160694,NA,NA,NA,NA,NA
Individual Technique,Unsupportive social interaction,Immediate post,All,Intrusion frequency,NA,yes,81,1,1,1,-0.23374," [-0.77, 0.30]",-0.850617165,0.394982051,NA,NA,NA,NA,NA
Individual Technique,Ve allocentric recognition memory task,Immediate post,All,Intrusion frequency,NA,yes,45,1,1,3,-0.286917258," [-1.10, 0.53]",-0.689033598,0.490802124,7.433656425,0,0.3797117,72.99676525,0.024310955
Individual Technique,Ve egocentric recognition memory task,Immediate post,All,Intrusion frequency,NA,yes,45,1,1,3,-0.101002145," [-1.04, 0.84]",-0.211164944,0.832758564,9.63323696,0,0.54518426,79.43615357,0.008094111
Individual Technique,Visual stimulation,Immediate post,All,Intrusion frequency,NA,yes,120,1,1,6,-0.115583083," [-0.30, 0.06]",-1.262313023,0.206836172,4.169968723,0,8.46775E-12,1.68329E-08,0.525213322
Individual Technique,Visual stimulation imagery,Immediate post,All,Intrusion frequency,NA,yes,114,1,1,3,-0.298261701," [-0.56, -0.04]",-2.238575713,0.025183536,0.03213154,0,6.00134E-12,1.12687E-08,0.984062596
Individual Technique,Wakeful rest,Immediate post,All,Intrusion frequency,NA,yes,85,1,2,3,0.374312064," [0.09, 0.66]",2.553553899,0.010662977,1.302753753,0.004205197,0,6.655888314,0.521327479
Individual Technique,Writing-based rescripting,Immediate post,All,Intrusion frequency,NA,yes,119,1,1,1,0.75715," [0.24, 1.27]",2.879517785,0.003982838,NA,NA,NA,NA,NA
Individual Technique,Social support,Peri + immediate post,All,Intrusion frequency,NA,no,67,1,1,1,-0.51207," [-1.00, -0.02]",-2.06021246,0.039378234,NA,NA,NA,NA,NA
Individual Technique,Social support,Peri + immediate post,All,Intrusion frequency,NA,yes,67,1,1,1,-0.51207," [-1.00, -0.02]",-2.06021246,0.039378234,NA,NA,NA,NA,NA
Individual Technique,Behavioral control,Peri,All,Intrusion frequency,NA,no,64,1,1,1,0," [-0.49, 0.49]",0,1,NA,NA,NA,NA,NA
Individual Technique,Chewing gum,Peri,All,Intrusion frequency,NA,no,54,1,1,1,0.45207," [-0.19, 1.10]",1.375898002,0.168853214,NA,NA,NA,NA,NA
Individual Technique,Clay modeling,Peri,All,Intrusion frequency,NA,no,106,2,2,3,0.762541434," [0.43, 1.09]",4.505596268,6.61868E-06,0.32636733,1.03881E-11,0,1.19393E-08,0.849435163
Individual Technique,Conceptual processing,Peri,All,Intrusion frequency,NA,no,284,2,2,2,-0.065286778," [-0.42, 0.29]",-0.35641834,0.721527297,0.072631046,8.44287E-13,8.44287E-13,2.43626E-09,0.787543806
Individual Technique,Concrete processing vs. Film-related rumination,Peri,All,Intrusion frequency,NA,no,50,1,1,1,0.57629," [0.01, 1.14]",1.996468074,0.045882998,NA,NA,NA,NA,NA
Individual Technique,Contextual information,Peri,All,Intrusion frequency,NA,no,244,4,4,8,-0.200062306," [-0.47, 0.07]",-1.467211734,0.142318466,13.16764194,2.4807E-10,0.067696295,46.88275471,0.068127654
Individual Technique,Data-driven processing,Peri,All,Intrusion frequency,NA,no,284,2,2,2,-0.061308012," [-0.42, 0.30]",-0.333091117,0.739065504,0.415796295,1.49947E-12,1.49947E-12,4.2644E-09,0.519042099
Individual Technique,Dissociation,Peri,All,Intrusion frequency,NA,no,128,3,3,4,-0.010154878," [-0.61, 0.59]",-0.033289345,0.973443851,6.648693802,0.185756609,1.03113E-10,62.57847182,0.083979274
Individual Technique,Emotional acceptance,Peri,All,Intrusion frequency,NA,no,145,2,2,4,0.546793761," [0.26, 0.84]",3.696229627,0.000218825,2.618393673,0,7.37169E-11,8.30731E-08,0.45427402
Individual Technique,Emotional numbing,Peri,All,Intrusion frequency,NA,no,56,1,1,2,0.218610323," [-0.24, 0.68]",0.937133425,0.34868993,0.001574035,0,3.05866E-12,2.81036E-09,0.968352947
Individual Technique,Emotional suppression,Peri,All,Intrusion frequency,NA,no,171,2,2,4,0.300913013," [0.02, 0.58]",2.079143764,0.037604139,3.851698154,5.07183E-11,0.0225444,26.84538657,0.277929765
Individual Technique,Finger tapping,Peri,All,Intrusion frequency,NA,no,360,6,7,12,0.571587344," [0.31, 0.84]",4.248332277,2.15368E-05,13.50625825,0.051774321,9.81363E-11,31.44199138,0.261527147
Individual Technique,Hyperventilation provocation test (hvpt),Peri,All,Intrusion frequency,NA,no,65,1,1,1,-0.60722," [-1.22, 0.00]",-1.946040581,0.051649865,NA,NA,NA,NA,NA
Individual Technique,Memorize numbers,Peri,All,Intrusion frequency,NA,no,65,1,1,1,-0.81964," [-1.44, -0.20]",-2.580517939,0.009865223,NA,NA,NA,NA,NA
Individual Technique,Number counting,Peri,All,Intrusion frequency,NA,no,396,6,7,11,-0.166518777," [-0.62, 0.29]",-0.721478818,0.470614969,34.44721526,0.297807927,2.96211E-10,76.17149172,0.00015509
Individual Technique,Verbalization during encoding,Peri,All,Intrusion frequency,NA,no,136,2,2,2,-0.119703749," [-0.96, 0.72]",-0.278617339,0.780538505,3.887878278,0.137188658,0.137188658,74.27903015,0.04863583
Individual Technique,Behavioral control,Peri,All,Intrusion frequency,NA,yes,64,1,1,1,0," [-0.49, 0.49]",0,1,NA,NA,NA,NA,NA
Individual Technique,Chewing gum,Peri,All,Intrusion frequency,NA,yes,54,1,1,1,0.45207," [-0.19, 1.10]",1.375898002,0.168853214,NA,NA,NA,NA,NA
Individual Technique,Clay modeling,Peri,All,Intrusion frequency,NA,yes,106,2,2,3,0.762541434," [0.43, 1.09]",4.505596268,6.61868E-06,0.32636733,1.03881E-11,0,1.19393E-08,0.849435163
Individual Technique,Conceptual processing,Peri,All,Intrusion frequency,NA,yes,284,2,2,2,-0.065286778," [-0.42, 0.29]",-0.35641834,0.721527297,0.072631046,8.44287E-13,8.44287E-13,2.43626E-09,0.787543806
Individual Technique,Concrete processing vs. Film-related rumination,Peri,All,Intrusion frequency,NA,yes,50,1,1,1,0.57629," [0.01, 1.14]",1.996468074,0.045882998,NA,NA,NA,NA,NA
Individual Technique,Contextual information,Peri,All,Intrusion frequency,NA,yes,244,4,4,8,-0.200062306," [-0.47, 0.07]",-1.467211734,0.142318466,13.16764194,2.4807E-10,0.067696295,46.88275471,0.068127654
Individual Technique,Data-driven processing,Peri,All,Intrusion frequency,NA,yes,284,2,2,2,-0.061308012," [-0.42, 0.30]",-0.333091117,0.739065504,0.415796295,1.49947E-12,1.49947E-12,4.2644E-09,0.519042099
Individual Technique,Dissociation,Peri,All,Intrusion frequency,NA,yes,128,3,3,4,-0.010154878," [-0.61, 0.59]",-0.033289345,0.973443851,6.648693802,0.185756609,1.03113E-10,62.57847182,0.083979274
Individual Technique,Emotional acceptance,Peri,All,Intrusion frequency,NA,yes,145,2,2,4,0.546793761," [0.26, 0.84]",3.696229627,0.000218825,2.618393673,0,7.37169E-11,8.30731E-08,0.45427402
Individual Technique,Emotional numbing,Peri,All,Intrusion frequency,NA,yes,56,1,1,2,0.218610323," [-0.24, 0.68]",0.937133425,0.34868993,0.001574035,0,3.05866E-12,2.81036E-09,0.968352947
Individual Technique,Emotional suppression,Peri,All,Intrusion frequency,NA,yes,171,2,2,4,0.300913013," [0.02, 0.58]",2.079143764,0.037604139,3.851698154,5.07183E-11,0.0225444,26.84538657,0.277929765
Individual Technique,Finger tapping,Peri,All,Intrusion frequency,NA,yes,360,6,7,12,0.571587344," [0.31, 0.84]",4.248332277,2.15368E-05,13.50625825,0.051774321,9.81363E-11,31.44199138,0.261527147
Individual Technique,Hyperventilation provocation test (hvpt),Peri,All,Intrusion frequency,NA,yes,65,1,1,1,-0.60722," [-1.22, 0.00]",-1.946040581,0.051649865,NA,NA,NA,NA,NA
Individual Technique,Number counting,Peri,All,Intrusion frequency,NA,yes,298,5,5,9,0.107449195," [-0.28, 0.49]",0.54726202,0.584198732,17.79372945,0.134142549,1.10497E-10,59.80515559,0.022827223
Individual Technique,Verbalization during encoding,Peri,All,Intrusion frequency,NA,yes,136,2,2,2,-0.119703749," [-0.96, 0.72]",-0.278617339,0.780538505,3.887878278,0.137188658,0.137188658,74.27903015,0.04863583
Individual Technique,Guilt induction,Pre + peri,All,Intrusion frequency,NA,no,108,1,1,2,-0.235563401," [-0.57, 0.10]",-1.384724714,0.166136659,0.443732613,0,5.45931E-12,9.38914E-09,0.505326362
Individual Technique,Guilt induction,Pre + peri,All,Intrusion frequency,NA,yes,108,1,1,2,-0.235563401," [-0.57, 0.10]",-1.384724714,0.166136659,0.443732613,0,5.45931E-12,9.38914E-09,0.505326362
Individual Technique,Anodal tdcs,Pre,All,Intrusion frequency,NA,no,118,1,1,1,0.17093," [-0.27, 0.61]",0.763029576,0.445445758,NA,NA,NA,NA,NA
Individual Technique,Cathodal tdcs,Pre,All,Intrusion frequency,NA,no,118,1,1,1,0.28166," [-0.16, 0.73]",1.23723106,0.216001314,NA,NA,NA,NA,NA
Individual Technique,Cold vs. Warm water stress,Pre,All,Intrusion frequency,NA,no,63,1,1,1,-0.186," [-0.68, 0.31]",-0.734248503,0.462797297,NA,NA,NA,NA,NA
Individual Technique,Concrete processing,Pre,All,Intrusion frequency,NA,no,64,1,1,1,0.61403," [0.11, 1.12]",2.399106163,0.016435149,NA,NA,NA,NA,NA
Individual Technique,Contextual information,Pre,All,Intrusion frequency,NA,no,80,1,2,2,-0.401724748," [-0.71, -0.09]",-2.513517335,0.01195339,0.502648885,5.29473E-12,5.29473E-12,2.0725E-08,0.478338532
Individual Technique,High dose alcohol,Pre,All,Intrusion frequency,NA,no,194,3,3,3,-0.221781665," [-0.74, 0.30]",-0.835183643,0.403614318,4.173812999,0.055274593,0.055274594,52.1630649,0.124070354
Individual Technique,High vs. Low self efficacy,Pre,All,Intrusion frequency,NA,no,33,1,1,2,0.850628085," [0.35, 1.35]",3.306976305,0.000943089,0.039981249,0,2.52557E-12,1.90839E-09,0.841517248
Individual Technique,Losartan,Pre,All,Intrusion frequency,NA,no,40,1,1,1,-0.22988," [-0.85, 0.39]",-0.724546545,0.468730263,NA,NA,NA,NA,NA
Individual Technique,Low dose alcohol,Pre,All,Intrusion frequency,NA,no,194,3,3,3,-0.493918754," [-1.01, 0.03]",-1.858685112,0.063071785,4.067224984,0.054001723,0.054001723,50.79698819,0.130861929
Individual Technique,Low vs. High alcohol,Pre,All,Intrusion frequency,NA,no,96,2,2,2,-0.745388273," [-1.25, -0.24]",-2.877587368,0.004007289,0.487795876,3.57646E-12,3.57646E-12,5.32489E-09,0.484912164
Individual Technique,Low vs. High resistance to proactive interference,Pre,All,Intrusion frequency,NA,no,54,1,1,3,0.080415363," [-0.23, 0.39]",0.511130956,0.609259361,0.092601559,0,7.49446E-12,1.00927E-08,0.954754748
Individual Technique,Nicotine,Pre,All,Intrusion frequency,NA,no,54,1,1,2,-0.539836392," [-0.98, -0.09]",-2.378511429,0.017382698,1.333456155,0,0.025776161,25.00690854,0.248191294
Individual Technique,Oxytocin,Pre,All,Intrusion frequency,NA,no,201,1,1,1,-0.29668," [-0.57, -0.02]",-2.090380707,0.036583615,NA,NA,NA,NA,NA
Individual Technique,Positive vs. Negative cbm training,Pre,All,Intrusion frequency,NA,no,147,3,3,6,0.272952156," [-0.23, 0.77]",1.070454588,0.28441474,8.743149564,0.13786166,1.12323E-11,61.6100626,0.119758158
Individual Technique,Sad induction,Pre,All,Intrusion frequency,NA,no,81,1,1,2,0.33647968," [-0.04, 0.71]",1.749291953,0.080240566,0.078490057,0,5.72056E-12,7.73049E-09,0.779354163
Individual Technique,Self efficacy,Pre,All,Intrusion frequency,NA,no,175,2,2,6,0.060441776," [-0.32, 0.44]",0.3125221,0.75464377,4.936214123,0.047863391,3.27322E-13,42.92236739,0.423714257
Individual Technique,Tetris,Pre,All,Intrusion frequency,NA,no,56,1,1,2,0.063700969," [-0.32, 0.44]",0.327866853,0.743012337,1.051419932,0,0.00369221,4.890524757,0.30518029
Individual Technique,Anodal tdcs,Pre,All,Intrusion frequency,NA,yes,118,1,1,1,0.17093," [-0.27, 0.61]",0.763029576,0.445445758,NA,NA,NA,NA,NA
Individual Technique,Cathodal tdcs,Pre,All,Intrusion frequency,NA,yes,118,1,1,1,0.28166," [-0.16, 0.73]",1.23723106,0.216001314,NA,NA,NA,NA,NA
Individual Technique,Cold vs. Warm water stress,Pre,All,Intrusion frequency,NA,yes,63,1,1,1,-0.186," [-0.68, 0.31]",-0.734248503,0.462797297,NA,NA,NA,NA,NA
Individual Technique,Concrete processing,Pre,All,Intrusion frequency,NA,yes,64,1,1,1,0.61403," [0.11, 1.12]",2.399106163,0.016435149,NA,NA,NA,NA,NA
Individual Technique,Contextual information,Pre,All,Intrusion frequency,NA,yes,80,1,2,2,-0.401724748," [-0.71, -0.09]",-2.513517335,0.01195339,0.502648885,5.29473E-12,5.29473E-12,2.0725E-08,0.478338532
Individual Technique,High dose alcohol,Pre,All,Intrusion frequency,NA,yes,194,3,3,3,-0.221781665," [-0.74, 0.30]",-0.835183643,0.403614318,4.173812999,0.055274593,0.055274594,52.1630649,0.124070354
Individual Technique,High vs. Low self efficacy,Pre,All,Intrusion frequency,NA,yes,33,1,1,2,0.850628085," [0.35, 1.35]",3.306976305,0.000943089,0.039981249,0,2.52557E-12,1.90839E-09,0.841517248
Individual Technique,Losartan,Pre,All,Intrusion frequency,NA,yes,40,1,1,1,-0.22988," [-0.85, 0.39]",-0.724546545,0.468730263,NA,NA,NA,NA,NA
Individual Technique,Low dose alcohol,Pre,All,Intrusion frequency,NA,yes,194,3,3,3,-0.493918754," [-1.01, 0.03]",-1.858685112,0.063071785,4.067224984,0.054001723,0.054001723,50.79698819,0.130861929
Individual Technique,Low vs. High alcohol,Pre,All,Intrusion frequency,NA,yes,48,1,1,1,-0.57011," [-1.28, 0.14]",-1.580720422,0.113941977,NA,NA,NA,NA,NA
Individual Technique,Low vs. High resistance to proactive interference,Pre,All,Intrusion frequency,NA,yes,54,1,1,3,0.080415363," [-0.23, 0.39]",0.511130956,0.609259361,0.092601559,0,7.49446E-12,1.00927E-08,0.954754748
Individual Technique,Nicotine,Pre,All,Intrusion frequency,NA,yes,54,1,1,1,-0.31786," [-0.85, 0.22]",-1.160590683,0.245808396,NA,NA,NA,NA,NA
Individual Technique,Oxytocin,Pre,All,Intrusion frequency,NA,yes,201,1,1,1,-0.29668," [-0.57, -0.02]",-2.090380707,0.036583615,NA,NA,NA,NA,NA
Individual Technique,Positive vs. Negative cbm training,Pre,All,Intrusion frequency,NA,yes,147,3,3,6,0.272952156," [-0.23, 0.77]",1.070454588,0.28441474,8.743149564,0.13786166,1.12323E-11,61.6100626,0.119758158
Individual Technique,Sad induction,Pre,All,Intrusion frequency,NA,yes,81,1,1,2,0.33647968," [-0.04, 0.71]",1.749291953,0.080240566,0.078490057,0,5.72056E-12,7.73049E-09,0.779354163
